=== AUTOMOBILE ASSEMBLER ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Adamjee Ins.XD,40.77,40.77,43.6,40.3,43.0,2.35,"238,119"
Adamjee Life Ass.,19.97,20.5,20.5,20.0,20.45,0.48,"8,460"
Ask.Gen.Insur.,29.65,27.02,30.98,26.99,27.5,-2.15,"3,684"
Askari Life Ass,4.10,4.02,4.69,3.16,4.5,0.4,"22,590"
Atlas Ins. Ltd,51.01,53.0,55.99,51.0,55.99,4.92,"11,088"
Century Ins.,35.62,32.55,36.0,32.55,34.5,-1.81,"7,214"
Cres.Star Ins.,2.30,2.39,2.4,2.2,2.34,-0.04,"343,509"
EFU GeneralXD,113.52,119.99,123.83,103.43,116.0,,166
EFU Life AssuranceXD,130.01,130.0,131.0,129.0,131.0,0.99,"14,477"
Habib Ins.,7.00,7.6,7.6,6.91,7.2,0.07,"110,243"
IGI Holdings,153.48,150.0,160.0,146.56,160.0,6.47,"31,378"
IGI Life Ins,16.51,17.89,18.0,14.88,17.44,,6
Jubile Life Ins,130.00,118.02,136.98,118.02,134.8,4.8,"6,246"
Jubilee Gen.Ins,43.33,43.03,46.3,43.03,46.3,2.71,"1,115,525"
Pak Gen.Ins.,8.86,8.0,9.3,8.0,9.25,0.39,"3,828"
Pak ReinsuranceXD,10.37,10.69,10.94,10.37,10.94,0.43,"404,589"
PICIC Ins.Ltd.,2.72,2.97,2.97,2.5,2.79,0.05,"658,992"
Premier Ins.,4.43,5.2,5.2,5.15,5.15,0.72,"1,107"
Reliance Ins.XB,9.48,10.4,10.4,8.6,9.8,0.52,"30,931"
Shaheen Ins.XB,4.80,5.1,5.29,4.61,5.29,0.3,"5,849"
TPL Insurance,7.65,7.99,7.99,7.99,7.99,,10
United InsuranceXB,16.69,16.02,16.75,16.0,16.73,0.03,"11,003"
Universal Ins.,9.25,9.74,9.74,8.25,9.5,-1.0,"19,848"
=== INV. BANKS / INV. COS. / SECURITIES COS. ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
786 Invest Ltd,7.60,7.02,8.48,6.7,8.4,0.34,"1,139"
AKD Securites,17.47,18.49,19.0,17.55,19.0,1.52,"130,891"
Apna Microfin.,10.95,10.93,10.93,9.86,9.86,,104
Arif Habib Limited.,58.99,58.91,63.89,58.9,62.5,3.85,"197,507"
Calcorp Limited,40.74,44.81,44.81,37.05,43.0,-3.22,"2,003"
Cyan LimitedXD,28.08,28.0,28.0,25.31,27.0,-1.03,"128,281"
Dawood Equities,7.49,7.06,8.44,6.66,8.2,0.1,"18,995"
Dawood Law,212.05,200.0,215.0,200.0,215.0,-1.9,507
DH Partners Ltd.XD,30.41,31.95,31.95,29.06,30.74,0.22,"42,022"
Engro Holdings,146.87,147.57,153.49,139.0,153.25,4.54,"3,868,674"
Escorts Bank,5.15,5.6,6.1,5.4,6.0,0.83,"125,486"
F. Nat.Equities,2.73,2.85,3.05,2.22,2.79,0.04,"1,089,604"
F.Credit & Inv,7.89,6.9,8.5,6.9,7.75,-0.18,"4,078"
First Dawood Prop,1.96,1.75,2.2,1.75,1.97,0.03,"130,315"
Intermarket Sec.,47.84,45.01,50.75,45.01,49.99,0.94,"31,536"
Invest Bank,1.30,1.3,1.34,1.22,1.31,0.02,"75,324"
Ist.Capital Sec,1.22,1.39,1.39,1.17,1.3,0.07,"483,766"
Jah.Sidd. Co.,14.38,14.5,14.9,13.51,14.9,0.18,"592,551"
JahangirSidd(Pref),8.65,8.29,8.29,8.29,8.29,,490
JS Global Cap.,109.91,109.9,109.9,100.0,104.0,-9.38,"1,051"
JS Investments,21.00,20.9,20.95,20.88,20.95,-0.05,"30,500"
LSE Capital Ltd.,3.91,4.64,4.64,4.28,4.47,0.48,"13,011"
LSE Fin. Services,19.61,17.75,20.0,17.75,19.5,-0.58,"3,864"
LSE Ventures Ltd,8.82,9.74,9.82,9.69,9.82,1.0,"5,025"
